job_id,status,title,company,location,posted_at,url,scraped_at
https://job-boards.greenhouse.io/flexport/jobs/8065932,NEW,"Senior Trade Advisory Associate, Classification",Flexport,,,https://job-boards.greenhouse.io/flexport/jobs/8065932,2026-07-29 19:39:37
https://job-boards.greenhouse.io/flexport/jobs/8083462,NEW,"Senior Trade Advisory Associate, Post-Entry",Flexport,,,https://job-boards.greenhouse.io/flexport/jobs/8083462,2026-07-29 19:39:37
https://job-boards.greenhouse.io/flexport/jobs/8048389,NEW,"Recruiter, EMEA",Flexport,,,https://job-boards.greenhouse.io/flexport/jobs/8048389,2026-07-29 19:39:37
https://job-boards.greenhouse.io/albedo/jobs/4331352009,NEW,Manufacturing Specialist,Albedo,,,https://job-boards.greenhouse.io/albedo/jobs/4331352009,2026-07-29 19:39:37
https://job-boards.greenhouse.io/flexport/jobs/8081240,NEW,Air Freight Manager,Flexport,,,https://job-boards.greenhouse.io/flexport/jobs/8081240,2026-07-29 19:39:37
https://job-boards.greenhouse.io/flexport/jobs/8080155,NEW,Sales Development Representative (Flemish speaking),Flexport,,,https://job-boards.greenhouse.io/flexport/jobs/8080155,2026-07-29 19:39:37
https://ats.rippling.com/rippling/jobs/b64a52fa-11d9-49c0-b9bf-b6592c93bf55,NEW,Pay Run Management Support,Rippling,,,https://ats.rippling.com/rippling/jobs/b64a52fa-11d9-49c0-b9bf-b6592c93bf55,2026-07-29 19:39:37
https://jobs.ashbyhq.com/Flock%20Safety/79de29be-0e3c-4d3b-a3f6-de78f705c2ab,NEW,"Senior Product Manager, Cloud Video",Flock Safety,,,https://jobs.ashbyhq.com/Flock%20Safety/79de29be-0e3c-4d3b-a3f6-de78f705c2ab,2026-07-29 19:39:37
https://jobs.ashbyhq.com/curri/98e08000-7a5b-4b59-be18-247366ec706d,NEW,AR Specialist,Curri,,,https://jobs.ashbyhq.com/curri/98e08000-7a5b-4b59-be18-247366ec706d,2026-07-29 19:39:37
https://apply.workable.com/j/F9ACEEFE3A,NEW,"Senior Technical Product Manager, Integrations",Ottimate,,,https://apply.workable.com/j/F9ACEEFE3A,2026-07-29 19:39:37
https://ats.rippling.com/rippling/jobs/eea8a89f-381a-4fa3-80f2-5206a3cd6202,NEW,Software Engineer I - Backend Leaning FullStack,Rippling,,,https://ats.rippling.com/rippling/jobs/eea8a89f-381a-4fa3-80f2-5206a3cd6202,2026-07-29 19:39:37
https://job-boards.greenhouse.io/flexport/jobs/8087877,NEW,HR Generalist,Flexport,,,https://job-boards.greenhouse.io/flexport/jobs/8087877,2026-07-29 19:39:37
https://consider.com/boards/job/c40fb2a8-3e87-41be-8930-00347e8654ed,NEW,Technician,Icarus,,,https://consider.com/boards/job/c40fb2a8-3e87-41be-8930-00347e8654ed,2026-07-29 19:39:37
https://consider.com/boards/job/eb76e302-e9a2-4bc9-a1b8-8ebe5d7d1411,NEW,Manufacturing Engineer,Icarus,,,https://consider.com/boards/job/eb76e302-e9a2-4bc9-a1b8-8ebe5d7d1411,2026-07-29 19:39:37
https://consider.com/boards/job/ab6f3aad-d680-4075-99e1-b69f5bda3ff8,NEW,Engineer (YC Track),Icarus,,,https://consider.com/boards/job/ab6f3aad-d680-4075-99e1-b69f5bda3ff8,2026-07-29 19:39:37
